date,cloud_provider,service,team,cost,region,usage_units,event
2026-03-01,AWS,EC2,Platform,1200,us-east,300,0
2026-03-01,AWS,S3,Data,300,us-east,5000,0
2026-03-01,Azure,VM,Engineering,900,us-west,250,0
2026-03-01,AWS,Lambda,Data,400,us-east,12000,0

2026-03-02,AWS,EC2,Platform,1500,us-east,350,0
2026-03-02,Azure,Blob,Engineering,350,us-west,6000,0
2026-03-02,AWS,S3,Data,280,us-east,4800,0
2026-03-02,AWS,Lambda,Data,520,us-east,15000,0

2026-03-03,AWS,EC2,Platform,1800,us-east,400,0
2026-03-03,Azure,VM,Engineering,1100,us-west,300,0
2026-03-03,AWS,S3,Data,320,us-east,5300,0
2026-03-03,AWS,Lambda,Data,700,us-east,20000,0

2026-03-04,AWS,EC2,Platform,4500,us-east,900,1
2026-03-04,Azure,VM,Engineering,2500,us-west,700,1
2026-03-04,AWS,S3,Data,900,us-east,12000,1
2026-03-04,AWS,Lambda,Data,1800,us-east,50000,1
